scenario,algorithmKey,objectiveKey,seed,initialBest,finalBest,improvementPercent,steps,stopReason
GA+Tabu / Sphere,ga_tabu,sphere,11,0.009286521688612995,8.307480511636997e-8,99.99910542603676,80,Причина остановки: достигнута целевая точность
GA+Tabu / Sphere,ga_tabu,sphere,19,0.2056646993661955,6.80560208718076e-7,99.99966909235721,26,Причина остановки: достигнута целевая точность
GA+Tabu / Sphere,ga_tabu,sphere,23,0.010530154455274618,1.5878232174027267e-7,99.99849211782777,20,Причина остановки: достигнута целевая точность
GA+Tabu / Sphere,ga_tabu,sphere,29,0.28306290932921474,7.733904129541579e-7,99.99972677790433,16,Причина остановки: достигнута целевая точность
GA+Tabu / Sphere,ga_tabu,sphere,31,1.9141985492566684,1.2475666416510373e-8,99.9999993482564,24,Причина остановки: достигнута целевая точность
GA+Tabu / Ackley,ga_tabu,ackley,11,0.5038143496657703,0.002584947807257265,99.48692453699024,428,"Причина остановки: GA+Tabu: gen=37, starts=7, tabuIters=336"
GA+Tabu / Ackley,ga_tabu,ackley,19,2.9699512478627597,0.00045795871268694555,99.98458026161148,108,Причина остановки: достигнута целевая точность
GA+Tabu / Ackley,ga_tabu,ackley,23,0.5520461442172611,0.0007812105363349531,99.85848818173658,26,Причина остановки: достигнута целевая точность
GA+Tabu / Ackley,ga_tabu,ackley,29,3.233292380579737,0.00032175612174611956,99.99004865369805,26,Причина остановки: достигнута целевая точность
GA+Tabu / Ackley,ga_tabu,ackley,31,4.481108242147908,0.0003719275341858008,99.99170009930384,64,Причина остановки: достигнута целевая точность
GA+Tabu / Rastrigin,ga_tabu,rastrigin,11,1.8023485583893564,0.0005597976296076723,99.96894065651163,22,Причина остановки: достигнута целевая точность
GA+Tabu / Rastrigin,ga_tabu,rastrigin,19,3.9860946255424548,0.00026476091173499583,99.99335788693931,56,Причина остановки: достигнута целевая точность
GA+Tabu / Rastrigin,ga_tabu,rastrigin,23,2.0530203122243194,0.000244020528022304,99.98811407142105,342,Причина остановки: достигнута целевая точность
GA+Tabu / Rastrigin,ga_tabu,rastrigin,29,4.078986274526628,0.0009351450244690085,99.97707408258985,40,Причина остановки: достигнута целевая точность
GA+Tabu / Rastrigin,ga_tabu,rastrigin,31,6.90318436570989,0.0007582135137234047,99.9890164672772,60,Причина остановки: достигнута целевая точность
Annealing / Sphere,annealing,sphere,11,0.009286521688612995,0.0017243929980174525,81.43122844227156,886,Причина остановки: температура <= Tmin (0.001000)
Annealing / Sphere,annealing,sphere,19,0.2056646993661955,0.00020723089326830043,99.89923847217975,896,Причина остановки: температура <= Tmin (0.001000)
Annealing / Sphere,annealing,sphere,23,0.010530154455274618,0.003365984823131936,68.0348010332755,841,Причина остановки: температура <= Tmin (0.001000)
Annealing / Sphere,annealing,sphere,29,0.28306290932921474,0.00107068855947256,99.62174890309372,911,Причина остановки: температура <= Tmin (0.001000)
Annealing / Sphere,annealing,sphere,31,1.9141985492566684,0.0027194733827032337,99.8579314886766,716,Причина остановки: температура <= Tmin (0.001000)
Annealing / Ackley,annealing,ackley,11,0.5038143496657703,0.16272761376801625,67.70087754031431,761,Причина остановки: температура <= Tmin (0.001000)
Annealing / Ackley,annealing,ackley,19,2.9699512478627597,0.09678280498489045,96.74126620581609,986,Причина остановки: температура <= Tmin (0.001000)
Annealing / Ackley,annealing,ackley,23,0.5520461442172611,0.291428129430475,47.20946201993909,751,Причина остановки: температура <= Tmin (0.001000)
Annealing / Ackley,annealing,ackley,29,3.557446215896359,0.29394518463183417,91.73718541918223,986,Причина остановки: температура <= Tmin (0.001000)
Annealing / Ackley,annealing,ackley,31,4.481108242147908,0.07072386258496266,98.42173277762505,1831,Причина остановки: температура <= Tmin (0.001000)
Annealing / Rastrigin,annealing,rastrigin,11,1.8023485583893564,0.21392961118168685,88.13050837553519,916,Причина остановки: температура <= Tmin (0.001000)
Annealing / Rastrigin,annealing,rastrigin,19,3.9860946255424548,3.9860946255424548,0,916,Причина остановки: температура <= Tmin (0.001000)
