algorithm,seed,initialLength,finalLength,gapPercent,improvementPercent,iterations,firstGap5,firstGap1
GA+Tabu,11,8164,7542,0,7.618814306712396,2251,7,870
GA+Tabu,19,8164,7542,0,7.618814306712396,2278,34,1732
GA+Tabu,23,8164,7542,0,7.618814306712396,2281,26,37
GA+Tabu,29,8164,7542,0,7.618814306712396,2258,14,556
GA+Tabu,31,8164,7542,0,7.618814306712396,2252,7,1529
Simulated Annealing,11,8164,7706,2.1744895253248475,5.60999510044096,223,110,
Simulated Annealing,19,8164,7596,0.7159904534606205,6.957373836354728,223,119,189
Simulated Annealing,23,8164,7733,2.532484752055158,5.279274865262126,223,66,
Simulated Annealing,29,8164,7755,2.824184566428003,5.009799118079373,223,125,
Simulated Annealing,31,8164,7788,3.261734287987271,4.605585497305242,223,115,
Scatter Search,11,8421,7542,0,10.438190238688993,38,3,7
Scatter Search,19,8421,7542,0,10.438190238688993,35,4,5
Scatter Search,23,8421,7542,0,10.438190238688993,37,2,7
Scatter Search,29,8421,7542,0,10.438190238688993,37,2,7
Scatter Search,31,8421,7542,0,10.438190238688993,39,4,9
Cuckoo Search,11,8421,7542,0,10.438190238688993,450,8,24
Cuckoo Search,19,8421,7542,0,10.438190238688993,450,2,127
Cuckoo Search,23,8421,7542,0,10.438190238688993,450,26,38
Cuckoo Search,29,8421,7542,0,10.438190238688993,450,8,58
Cuckoo Search,31,8421,7542,0,10.438190238688993,450,11,37
